id_mesure,id_temps,id_localisation,id_polluant,id_pays,date_complete,annee,mois,jour,semaine,trimestre,saison,id_station,nom_station,nom_ville,admin_name,nom_pays,eco_iso3,continent,latitude,longitude,population,code_polluant,nom_polluant,categorie,unite,impact_sante,valeur_pollution,PM25_EXPO_WB,GDP_PC_USD,URBAN_PCT,RENEWABLE_PCT,FOSSIL_PCT,POP_TOTAL,PM25_ABOVE_WHO,ELEC_COAL_PCT,CO2_PC
1,183,1,1,1,2016-07-01,2016,7,1,26,3,Été,21,Beijing US Embassy,Beijing,Beijing,China,CHN,Asia,39.95,116.47,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,50.287,46.8325,8254.8686,58.8399,12.6,0.0,1387790000.0,99.9983,68.4177,7.7632
2,548,1,1,1,2017-07-01,2017,7,1,26,3,Été,21,Beijing US Embassy,Beijing,Beijing,China,CHN,Asia,39.95,116.47,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,44.85,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
3,913,1,1,1,2018-07-01,2018,7,1,26,3,Été,21,Beijing US Embassy,Beijing,Beijing,China,CHN,Asia,39.95,116.47,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,44.215,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
4,1278,1,1,1,2019-07-01,2019,7,1,27,3,Été,21,Beijing US Embassy,Beijing,Beijing,China,CHN,Asia,39.95,116.47,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,46.067,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
5,1644,1,1,1,2020-07-01,2020,7,1,27,3,Été,21,Beijing US Embassy,Beijing,Beijing,China,CHN,Asia,39.95,116.47,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,33.578,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
6,2009,1,1,1,2021-07-01,2021,7,1,26,3,Été,21,Beijing US Embassy,Beijing,Beijing,China,CHN,Asia,39.95,116.47,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,30.973,,12887.4357,64.7211,15.2,0.0,1412360000.0,,63.001,8.8872
7,2374,1,1,1,2022-07-01,2022,7,1,26,3,Été,21,Beijing US Embassy,Beijing,Beijing,China,CHN,Asia,39.95,116.47,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,36.488,,12970.6056,65.2176,,0.0,1412175000.0,,61.7187,8.8648
8,2739,1,1,1,2023-07-01,2023,7,1,26,3,Été,21,Beijing US Embassy,Beijing,Beijing,China,CHN,Asia,39.95,116.47,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,31.0,,12951.1782,65.5301,,0.0,1410710000.0,,61.3408,9.2303
9,183,2,1,1,2016-07-01,2016,7,1,26,3,Été,32,SPARTAN - Tsinghua University,Beijing,Beijing,China,CHN,Asia,40.01,116.333,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,43.504,46.8325,8254.8686,58.8399,12.6,0.0,1387790000.0,99.9983,68.4177,7.7632
10,548,2,1,1,2017-07-01,2017,7,1,26,3,Été,32,SPARTAN - Tsinghua University,Beijing,Beijing,China,CHN,Asia,40.01,116.333,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,49.527,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
11,913,2,1,1,2018-07-01,2018,7,1,26,3,Été,32,SPARTAN - Tsinghua University,Beijing,Beijing,China,CHN,Asia,40.01,116.333,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,37.499,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
12,1278,2,1,1,2019-07-01,2019,7,1,27,3,Été,32,SPARTAN - Tsinghua University,Beijing,Beijing,China,CHN,Asia,40.01,116.333,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,34.88,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
13,1644,2,1,1,2020-07-01,2020,7,1,27,3,Été,32,SPARTAN - Tsinghua University,Beijing,Beijing,China,CHN,Asia,40.01,116.333,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,36.063,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
14,2009,2,1,1,2021-07-01,2021,7,1,26,3,Été,32,SPARTAN - Tsinghua University,Beijing,Beijing,China,CHN,Asia,40.01,116.333,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,22.888,,12887.4357,64.7211,15.2,0.0,1412360000.0,,63.001,8.8872
15,2374,2,1,1,2022-07-01,2022,7,1,26,3,Été,32,SPARTAN - Tsinghua University,Beijing,Beijing,China,CHN,Asia,40.01,116.333,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,21.867,,12970.6056,65.2176,,0.0,1412175000.0,,61.7187,8.8648
16,2739,2,1,1,2023-07-01,2023,7,1,26,3,Été,32,SPARTAN - Tsinghua University,Beijing,Beijing,China,CHN,Asia,40.01,116.333,18522000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,25.455,,12951.1782,65.5301,,0.0,1410710000.0,,61.3408,9.2303
17,2009,3,1,1,2021-07-01,2021,7,1,26,3,Été,53,Shenyang,Shenyang,Liaoning,China,CHN,Asia,41.78,123.42,7964000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,27.223,,12887.4357,64.7211,15.2,0.0,1412360000.0,,63.001,8.8872
18,2374,3,1,1,2022-07-01,2022,7,1,26,3,Été,53,Shenyang,Shenyang,Liaoning,China,CHN,Asia,41.78,123.42,7964000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,30.891,,12970.6056,65.2176,,0.0,1412175000.0,,61.7187,8.8648
19,2739,3,1,1,2023-07-01,2023,7,1,26,3,Été,53,Shenyang,Shenyang,Liaoning,China,CHN,Asia,41.78,123.42,7964000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,24.014,,12951.1782,65.5301,,0.0,1410710000.0,,61.3408,9.2303
20,183,4,1,1,2016-07-01,2016,7,1,26,3,Été,142,Chengdu,Chengdu,Sichuan,China,CHN,Asia,30.63,104.07,14645000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,36.886,46.8325,8254.8686,58.8399,12.6,0.0,1387790000.0,99.9983,68.4177,7.7632
21,548,4,1,1,2017-07-01,2017,7,1,26,3,Été,142,Chengdu,Chengdu,Sichuan,China,CHN,Asia,30.63,104.07,14645000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,55.869,45.8369,8979.6765,60.2403,13.1,0.0,1396215000.0,99.9983,68.0265,7.878
22,913,4,1,1,2018-07-01,2018,7,1,26,3,Été,142,Chengdu,Chengdu,Sichuan,China,CHN,Asia,30.63,104.07,14645000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,38.935,40.2664,10085.6638,61.5002,13.5,0.0,1402760000.0,,66.5294,8.2177
23,1278,4,1,1,2019-07-01,2019,7,1,27,3,Été,142,Chengdu,Chengdu,Sichuan,China,CHN,Asia,30.63,104.07,14645000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,37.88,37.5476,10342.901,62.7099,14.3,0.0,1407745000.0,,64.9687,8.3915
24,1644,4,1,1,2020-07-01,2020,7,1,27,3,Été,142,Chengdu,Chengdu,Sichuan,China,CHN,Asia,30.63,104.07,14645000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,27.363,34.8105,10627.4638,63.5234,14.9,0.0,1411100000.0,,63.455,8.4786
25,2009,4,1,1,2021-07-01,2021,7,1,26,3,Été,142,Chengdu,Chengdu,Sichuan,China,CHN,Asia,30.63,104.07,14645000.0,PM2.5,Particules fines PM2.5,Particules,µg/m³,Pénètre profondément dans les alvéoles pulmonaires. Risque cardiovasculaire et respiratoire grave.,29.479,,12887.4357,64.7211,15.2,0.0,1412360000.0,,63.001,8.8872
